name_of_university,year_of_education,type_of_university,city,onlisans_male,onlisans_female,lisans_male,lisans_female,master_male,master_female,doctorate_male,doctorate_female,total_male,total_female,total_total
MEF UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,14,36,1126,1423,54,30,0,0,1194,1489,2683
MEF UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,27,66,793,995,28,6,0,0,848,1067,1915
MEF UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,16,33,570,650,1,3,0,0,587,686,1273
MEF UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,276,332,0,0,0,0,276,332,608
MEHMET AKIF ERSOY UNIVERSITESI,2018-2017,DEVLET,BURDUR,7338,5161,7949,8168,1119,702,108,63,16514,14094,30608
MEHMET AKIF ERSOY UNIVERSITESI,2017-2016,DEVLET,BURDUR,7658,5104,6884,7402,972,613,85,41,15599,13160,28759
MEHMET AKIF ERSOY UNIVERSITESI,2016-2015,DEVLET,BURDUR,7003,4547,5360,6091,790,494,73,36,13226,11168,24394
MEHMET AKIF ERSOY UNIVERSITESI,2015-2014,DEVLET,BURDUR,6410,4273,4530,5495,538,391,49,26,11527,10185,21712
MELIKSAH UNIVERSITESI,2016-2015,VAKIF,KAYSERI,0,0,2047,1939,331,136,31,16,2409,2091,4500
MELIKSAH UNIVERSITESI,2015-2014,VAKIF,KAYSERI,0,0,1813,1702,298,107,42,17,2153,1826,3979
MERSIN UNIVERSITESI,2019-2018,DEVLET,MERSIN,9053,4921,11320,9885,1640,1566,296,312,22309,16684,38993
MERSIN UNIVERSITESI,2018-2017,DEVLET,MERSIN,13997,7550,11345,9701,2299,1797,303,306,27944,19354,47298
MERSIN UNIVERSITESI,2017-2016,DEVLET,MERSIN,13649,7263,9983,8959,2663,1812,257,263,26552,18297,44849
MERSIN UNIVERSITESI,2016-2015,DEVLET,MERSIN,12500,6572,8985,8371,2231,1665,221,247,23937,16855,40792
MERSIN UNIVERSITESI,2015-2014,DEVLET,MERSIN,10814,5856,7900,7815,1653,1430,191,210,20558,15311,35869
MEVLANA UNIVERSITESI,2016-2015,VAKIF,KONYA,114,124,1508,2146,609,174,26,13,2257,2457,4714
MEVLANA UNIVERSITESI,2015-2014,VAKIF,KONYA,124,113,1301,1989,236,113,18,12,1679,2227,3906
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,2019-2018,DEVLET,ISTANBUL,61,175,3295,4437,893,1284,280,461,4529,6357,10886
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,2018-2017,DEVLET,ISTANBUL,54,173,3077,4220,1125,1415,301,453,4557,6261,10818
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,2017-2016,DEVLET,ISTANBUL,46,142,2871,4042,1163,1485,216,294,4296,5963,10259
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,2016-2015,DEVLET,ISTANBUL,50,124,2652,3866,1353,1655,199,270,4254,5915,10169
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,2015-2014,DEVLET,ISTANBUL,41,125,2475,3879,724,909,157,230,3397,5143,8540
MUGLA SITKI KOCMAN UNIVERSITESI,2019-2018,DEVLET,MUGLA,8851,5311,12918,11105,1150,1209,290,224,23209,17849,41058
MUGLA SITKI KOCMAN UNIVERSITESI,2018-2017,DEVLET,MUGLA,11523,6079,12537,10877,1935,1408,283,203,26278,18567,44845
MUGLA SITKI KOCMAN UNIVERSITESI,2017-2016,DEVLET,MUGLA,11095,5718,11671,10694,2046,1340,248,175,25060,17927,42987
MUGLA SITKI KOCMAN UNIVERSITESI,2016-2015,DEVLET,MUGLA,10170,4967,10721,9781,1690,1160,228,162,22809,16070,38879
MUGLA SITKI KOCMAN UNIVERSITESI,2015-2014,DEVLET,MUGLA,9256,4524,10176,9228,1186,891,201,145,20819,14788,35607
MUNZUR UNIVERSITESI,2019-2018,DEVLET,TUNCELI,1184,1034,1546,1065,283,108,6,6,3019,2213,5232
MUNZUR UNIVERSITESI,2018-2017,DEVLET,TUNCELI,1433,1127,1885,1198,275,85,4,3,3597,2413,6010
MUNZUR UNIVERSITESI,2017-2016,DEVLET,TUNCELI,1554,1234,2254,1360,233,88,6,4,4047,2686,6733
MURAT HUDAVENDIGAR UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,0,0,77,114,10,12,0,0,87,126,213
MURAT HUDAVENDIGAR UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,25,25,0,0,0,0,25,25,50
MUS ALPARSLAN UNIVERSITESI,2019-2018,DEVLET,MUS,1665,984,2338,2682,299,93,2,0,4304,3759,8063
MUS ALPARSLAN UNIVERSITESI,2018-2017,DEVLET,MUS,1948,1021,2403,2765,191,55,0,0,4542,3841,8383
MUS ALPARSLAN UNIVERSITESI,2017-2016,DEVLET,MUS,2061,1017,2615,2781,201,37,0,0,4877,3835,8712
MUS ALPARSLAN UNIVERSITESI,2016-2015,DEVLET,MUS,2139,1061,2769,2778,196,50,0,0,5104,3889,8993
MUS ALPARSLAN UNIVERSITESI,2015-2014,DEVLET,MUS,2142,1099,2918,2726,167,34,0,0,5227,3859,9086
MUSTAFA KEMAL UNIVERSITESI,2018-2017,DEVLET,HATAY,5722,3970,6331,6424,1356,716,160,90,13569,11200,24769
MUSTAFA KEMAL UNIVERSITESI,2017-2016,DEVLET,HATAY,5685,3964,6150,6173,1095,678,139,77,13069,10892,23961
MUSTAFA KEMAL UNIVERSITESI,2016-2015,DEVLET,HATAY,5285,3902,6068,5989,851,602,135,74,12339,10567,22906
MUSTAFA KEMAL UNIVERSITESI,2015-2014,DEVLET,HATAY,10735,4965,9958,7145,988,612,142,62,21823,12784,34607
NAMIK KEMAL UNIVERSITESI,2018-2017,DEVLET,TEKIRDAG,12519,6251,6438,5341,1226,982,142,125,20325,12699,33024
NAMIK KEMAL UNIVERSITESI,2017-2016,DEVLET,TEKIRDAG,13080,6664,5891,4844,1473,1066,137,117,20581,12691,33272
NAMIK KEMAL UNIVERSITESI,2016-2015,DEVLET,TEKIRDAG,12316,6282,5295,4423,1310,980,134,117,19055,11802,30857
NAMIK KEMAL UNIVERSITESI,2015-2014,DEVLET,TEKIRDAG,11358,6021,4650,3882,1091,817,126,105,17225,10825,28050
NECMETTIN ERBAKAN UNIVERSITESI,2019-2018,DEVLET,KONYA,2330,852,11224,14340,2967,2394,519,287,17040,17873,34913
NECMETTIN ERBAKAN UNIVERSITESI,2018-2017,DEVLET,KONYA,2855,888,10430,13677,4364,2934,590,267,18239,17766,36005
NECMETTIN ERBAKAN UNIVERSITESI,2017-2016,DEVLET,KONYA,3324,973,9060,12797,4058,2826,532,206,16974,16802,33776
NECMETTIN ERBAKAN UNIVERSITESI,2016-2015,DEVLET,KONYA,3105,884,7872,11622,3252,2499,472,187,14701,15192,29893
NECMETTIN ERBAKAN UNIVERSITESI,2015-2014,DEVLET,KONYA,2910,819,6880,10715,2136,1850,362,171,12288,13555,25843
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,2019-2018,DEVLET,NEVSEHIR,3282,3191,4434,6443,1034,801,131,93,8881,10528,19409
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,2018-2017,DEVLET,NEVSEHIR,4225,3363,4028,5927,1326,743,111,81,9690,10114,19804
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,2017-2016,DEVLET,NEVSEHIR,4231,3083,3571,4981,1150,669,93,47,9045,8780,17825
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,2016-2015,DEVLET,NEVSEHIR,3828,2703,2930,4220,985,617,81,45,7824,7585,15409
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,2015-2014,DEVLET,NEVSEHIR,3390,2369,2510,3624,683,517,77,37,6660,6547,13207
NIGDE OMER HALISDEMIR UNIVERSITESI,2019-2018,DEVLET,NIGDE,4721,2834,8135,7680,1218,907,188,110,14262,11531,25793
NIGDE OMER HALISDEMIR UNIVERSITESI,2018-2017,DEVLET,NIGDE,6058,3339,7919,7598,1435,884,165,92,15577,11913,27490
NIGDE UNIVERSITESI,2016-2015,DEVLET,NIGDE,5582,3039,6840,6443,1250,688,135,73,13807,10243,24050
NIGDE UNIVERSITESI,2015-2014,DEVLET,NIGDE,4906,2770,6427,6057,1054,624,115,61,12502,9512,22014
NISANTASI UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,5894,4474,5714,3203,573,160,10,2,12191,7839,20030
NISANTASI UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,5811,4498,4603,2875,2704,212,9,2,13127,7587,20714
NISANTASI UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,6498,5355,3668,2402,3671,437,9,2,13846,8196,22042
NISANTASI UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,5288,4647,1957,1461,1733,531,3,0,8981,6639,15620
NISANTASI UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,3730,3758,921,767,1384,545,0,0,6035,5070,11105
NUH NACI YAZGAN UNIVERSITESI,2019-2018,VAKIF,KAYSERI,0,0,1407,1715,61,30,0,0,1468,1745,3213
NUH NACI YAZGAN UNIVERSITESI,2018-2017,VAKIF,KAYSERI,0,0,1479,1766,81,28,0,0,1560,1794,3354
NUH NACI YAZGAN UNIVERSITESI,2017-2016,VAKIF,KAYSERI,0,0,1399,1626,132,40,0,0,1531,1666,3197
NUH NACI YAZGAN UNIVERSITESI,2016-2015,VAKIF,KAYSERI,0,0,908,912,102,42,0,0,1010,954,1964
NUH NACI YAZGAN UNIVERSITESI,2015-2014,VAKIF,KAYSERI,0,0,656,579,88,39,0,0,744,618,1362
OKAN UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,2096,2100,5359,4915,6165,1727,216,132,13836,8874,22710
OKAN UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,2347,2339,4975,4458,6747,2545,176,83,14245,9425,23670
OKAN UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,2211,2223,4584,4015,4692,2530,174,77,11661,8845,20506
OKAN UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,1746,1858,4118,3338,3278,2390,138,64,9280,7650,16930
OMER HALISDEMIR UNIVERSITESI,2017-2016,DEVLET,NIGDE,6107,3309,7476,7152,1393,779,135,76,15111,11316,26427
ONDOKUZ MAYIS UNIVERSITESI,2019-2018,DEVLET,SAMSUN,7325,6377,15472,16185,2834,2518,794,549,26425,25629,52054
ONDOKUZ MAYIS UNIVERSITESI,2018-2017,DEVLET,SAMSUN,9124,7144,14564,15601,3746,3017,764,511,28198,26273,54471
ONDOKUZ MAYIS UNIVERSITESI,2017-2016,DEVLET,SAMSUN,8996,6954,14041,15937,4149,3037,757,479,27943,26407,54350
ONDOKUZ MAYIS UNIVERSITESI,2016-2015,DEVLET,SAMSUN,7887,6089,14035,15848,3577,2707,679,463,26178,25107,51285
ONDOKUZ MAYIS UNIVERSITESI,2015-2014,DEVLET,SAMSUN,6798,5232,13960,16170,2838,2271,637,454,24233,24127,48360
ORDU UNIVERSITESI,2019-2018,DEVLET,ORDU,4552,2593,4255,5087,543,557,68,64,9418,8301,17719
ORDU UNIVERSITESI,2018-2017,DEVLET,ORDU,6809,3067,4006,4976,744,644,61,48,11620,8735,20355
ORDU UNIVERSITESI,2017-2016,DEVLET,ORDU,7226,3148,3650,4681,690,585,46,33,11612,8447,20059
ORDU UNIVERSITESI,2016-2015,DEVLET,ORDU,6465,2782,3207,3986,593,505,37,27,10302,7300,17602
ORDU UNIVERSITESI,2015-2014,DEVLET,ORDU,5652,2332,2808,3389,515,438,33,19,9008,6178,15186
ORTA DOGU TEKNIK UNIVERSITESI,2019-2018,DEVLET,ANKARA,28,3,12700,8627,2577,2336,1674,1457,16979,12423,29402
ORTA DOGU TEKNIK UNIVERSITESI,2018-2017,DEVLET,ANKARA,73,5,12732,8741,2710,2343,1750,1448,17265,12537,29802
ORTA DOGU TEKNIK UNIVERSITESI,2017-2016,DEVLET,ANKARA,92,7,11798,8571,2794,2211,1832,1474,16516,12263,28779
ORTA DOGU TEKNIK UNIVERSITESI,2016-2015,DEVLET,ANKARA,120,3,11602,8638,2692,2248,1786,1431,16200,12320,28520
ORTA DOGU TEKNIK UNIVERSITESI,2015-2014,DEVLET,ANKARA,97,2,10900,8368,2607,2109,1711,1428,15315,11907,27222
OSMANIYE KORKUT ATA UNIVERSITESI,2019-2018,DEVLET,OSMANIYE,2683,1348,4534,3031,348,220,52,25,7617,4624,12241
OSMANIYE KORKUT ATA UNIVERSITESI,2018-2017,DEVLET,OSMANIYE,4176,1747,4535,2804,357,206,47,15,9115,4772,13887
OSMANIYE KORKUT ATA UNIVERSITESI,2017-2016,DEVLET,OSMANIYE,4412,1839,3842,2338,383,193,44,15,8681,4385,13066
OSMANIYE KORKUT ATA UNIVERSITESI,2016-2015,DEVLET,OSMANIYE,3948,1643,3138,1857,330,172,35,15,7451,3687,11138
OSMANIYE KORKUT ATA UNIVERSITESI,2015-2014,DEVLET,OSMANIYE,3344,1381,2378,1409,280,142,21,12,6023,2944,8967
OZYEGIN UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,0,0,4093,3174,409,176,136,52,4638,3402,8040
OZYEGIN UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,0,0,3998,3183,504,166,144,41,4646,3390,8036
OZYEGIN UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,0,0,3833,2916,513,172,125,33,4471,3121,7592
OZYEGIN UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,0,0,3287,2476,482,148,115,25,3884,2649,6533
OZYEGIN UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,2671,2053,413,129,100,29,3184,2211,5395
PAMUKKALE UNIVERSITESI,2019-2018,DEVLET,DENIZLI,8014,7172,18936,16953,1368,1453,329,331,28647,25909,54556
PAMUKKALE UNIVERSITESI,2018-2017,DEVLET,DENIZLI,10681,8524,18393,16830,1949,1701,357,330,31380,27385,58765
PAMUKKALE UNIVERSITESI,2017-2016,DEVLET,DENIZLI,10682,8569,17322,16119,2175,1652,330,320,30509,26660,57169
PAMUKKALE UNIVERSITESI,2016-2015,DEVLET,DENIZLI,9429,7592,16016,15130,2061,1514,320,288,27826,24524,52350
PAMUKKALE UNIVERSITESI,2015-2014,DEVLET,DENIZLI,7998,6591,14590,14569,1903,1361,279,267,24770,22788,47558
PIRI REIS UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,1000,228,1981,526,45,20,34,2,3060,776,3836
PIRI REIS UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,829,190,1957,473,53,22,38,4,2877,689,3566
PIRI REIS UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,762,159,1772,326,44,16,32,2,2610,503,3113
PIRI REIS UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,592,84,1348,196,23,3,25,2,1988,285,2273
PIRI REIS UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,358,49,1054,109,14,2,19,0,1445,160,1605
PLATO MESLEK YUKSEKOKULU,2016-2015,VAKIF MYO,ISTANBUL,1693,2814,0,0,0,0,0,0,1693,2814,4507
PLATO MESLEK YUKSEKOKULU,2015-2014,VAKIF MYO,ISTANBUL,1177,2462,0,0,0,0,0,0,1177,2462,3639
RECEP TAYYIP ERDOGAN UNIVERSITESI,2019-2018,DEVLET,RIZE,3170,2305,5090,5866,864,671,104,63,9228,8905,18133
RECEP TAYYIP ERDOGAN UNIVERSITESI,2018-2017,DEVLET,RIZE,4968,2684,4799,5480,1095,758,97,67,10959,8989,19948
RECEP TAYYIP ERDOGAN UNIVERSITESI,2017-2016,DEVLET,RIZE,5104,2556,4464,5140,1036,702,91,62,10695,8460,19155
RECEP TAYYIP ERDOGAN UNIVERSITESI,2016-2015,DEVLET,RIZE,4724,2298,3926,4684,865,583,86,53,9601,7618,17219
RECEP TAYYIP ERDOGAN UNIVERSITESI,2015-2014,DEVLET,RIZE,4362,2227,3496,4429,709,499,76,42,8643,7197,15840
SABANCI UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,0,0,2674,1601,365,254,157,121,3196,1976,5172
SABANCI UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,0,0,2526,1546,381,296,151,108,3058,1950,5008
SABANCI UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,0,0,2354,1365,390,311,169,115,2913,1791,4704
SABANCI UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,0,0,2132,1267,317,243,153,115,2602,1625,4227
SABANCI UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,2256,1446,299,200,140,118,2695,1764,4459
SAGLIK BILIMLERI UNIVERSITESI,2019-2018,DEVLET,ISTANBUL,1227,2563,1971,3743,66,314,124,258,3388,6878,10266
SAGLIK BILIMLERI UNIVERSITESI,2018-2017,DEVLET,ISTANBUL,663,1380,1225,1843,43,152,58,139,1989,3514,5503
SAGLIK BILIMLERI UNIVERSITESI,2017-2016,DEVLET,ISTANBUL,258,279,825,830,7,26,25,40,1115,1175,2290
SAKARYA UNIVERSITESI,2019-2018,DEVLET,SAKARYA,3021,2071,20310,20135,4220,3165,1028,567,28579,25938,54517
SAKARYA UNIVERSITESI,2018-2017,DEVLET,SAKARYA,19360,9995,24711,21427,5680,3308,1231,592,50982,35322,86304
SAKARYA UNIVERSITESI,2017-2016,DEVLET,SAKARYA,19796,10116,23763,21281,8777,3960,1300,587,53636,35944,89580
SAKARYA UNIVERSITESI,2016-2015,DEVLET,SAKARYA,18260,9535,22701,20828,7620,3539,1274,556,49855,34458,84313
SAKARYA UNIVERSITESI,2015-2014,DEVLET,SAKARYA,16587,9064,20769,20329,6163,2942,1202,484,44721,32819,77540
SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,2019-2018,DEVLET,SAKARYA,9627,5844,5349,1287,858,259,158,42,15992,7432,23424
SAMSUN UNIVERSITESI,2019-2018,DEVLET,SAMSUN,845,261,478,236,0,0,0,0,1323,497,1820
SANKO UNIVERSITESI,2019-2018,VAKIF,GAZIANTEP,0,0,338,726,20,30,0,1,358,757,1115
SANKO UNIVERSITESI,2018-2017,VAKIF,GAZIANTEP,0,0,326,777,17,21,0,0,343,798,1141
SANKO UNIVERSITESI,2017-2016,VAKIF,GAZIANTEP,0,0,271,612,17,23,0,0,288,635,923
SANKO UNIVERSITESI,2016-2015,VAKIF,GAZIANTEP,0,0,135,344,4,6,0,0,139,350,489
SANKO UNIVERSITESI,2015-2014,VAKIF,GAZIANTEP,0,0,63,168,0,0,0,0,63,168,231
SELAHADDIN EYYUBI UNIVERSITESI,2016-2015,VAKIF,DIYARBAKIR,295,333,87,96,424,48,0,0,806,477,1283
SELAHADDIN EYYUBI UNIVERSITESI,2015-2014,VAKIF,DIYARBAKIR,47,31,24,30,156,24,0,0,227,85,312
SELCUK UNIVERSITESI,2019-2018,DEVLET,KONYA,12146,8652,18923,19782,3645,2372,1059,646,35773,31452,67225
SELCUK UNIVERSITESI,2018-2017,DEVLET,KONYA,19414,10794,24423,21863,7251,3410,1403,745,52491,36812,89303
SELCUK UNIVERSITESI,2017-2016,DEVLET,KONYA,21302,11729,23948,21252,10346,4572,1521,786,57117,38339,95456
SELCUK UNIVERSITESI,2016-2015,DEVLET,KONYA,19869,11071,22253,20057,7785,3953,1327,703,51234,35784,87018
SELCUK UNIVERSITESI,2015-2014,DEVLET,KONYA,17436,9720,21214,18929,6332,3635,1254,707,46236,32991,79227
SIFA UNIVERSITESI,2016-2015,VAKIF,IZMIR,286,680,372,1160,17,97,8,5,683,1942,2625
SIFA UNIVERSITESI,2015-2014,VAKIF,IZMIR,204,489,286,972,14,32,6,5,510,1498,2008
SIIRT UNIVERSITESI,2019-2018,DEVLET,SIIRT,3064,2078,4553,3864,564,236,8,5,8189,6183,14372
SIIRT UNIVERSITESI,2018-2017,DEVLET,SIIRT,2571,1677,4034,3423,541,163,9,5,7155,5268,12423
SIIRT UNIVERSITESI,2017-2016,DEVLET,SIIRT,2547,1661,3323,2941,448,127,7,4,6325,4733,11058
SIIRT UNIVERSITESI,2016-2015,DEVLET,SIIRT,2288,1610,2643,2296,282,88,6,4,5219,3998,9217
SIIRT UNIVERSITESI,2015-2014,DEVLET,SIIRT,2989,2019,2110,1874,98,35,3,2,5200,3930,9130
SINOP UNIVERSITESI,2019-2018,DEVLET,SINOP,2255,1455,2816,3403,334,154,12,8,5417,5020,10437
SINOP UNIVERSITESI,2018-2017,DEVLET,SINOP,2714,1502,2450,3032,305,127,14,10,5483,4671,10154
SINOP UNIVERSITESI,2017-2016,DEVLET,SINOP,2892,1592,1933,2461,222,139,14,14,5061,4206,9267
SINOP UNIVERSITESI,2016-2015,DEVLET,SINOP,2533,1344,1260,1869,187,126,13,14,3993,3353,7346
SINOP UNIVERSITESI,2015-2014,DEVLET,SINOP,1901,913,992,1640,119,91,13,16,3025,2660,5685
SIRNAK UNIVERSITESI,2019-2018,DEVLET,SIRNAK,604,422,838,383,205,68,6,0,1653,873,2526
SIRNAK UNIVERSITESI,2018-2017,DEVLET,SIRNAK,819,426,819,326,126,32,0,0,1764,784,2548
SIRNAK UNIVERSITESI,2017-2016,DEVLET,SIRNAK,912,479,931,371,76,18,0,0,1919,868,2787
SIRNAK UNIVERSITESI,2016-2015,DEVLET,SIRNAK,1015,568,1179,487,79,19,0,0,2273,1074,3347
SIRNAK UNIVERSITESI,2015-2014,DEVLET,SIRNAK,965,644,1276,563,65,9,0,0,2306,1216,3522
SIVAS CUMHURIYET UNIVERSITESI,2019-2018,DEVLET,SIVAS,7975,6368,16029,16966,2393,1594,257,169,26654,25097,51751
SULEYMAN DEMIREL UNIVERSITESI,2019-2018,DEVLET,ISPARTA,1259,2860,16813,16198,3940,2155,741,503,22753,21716,44469
SULEYMAN DEMIREL UNIVERSITESI,2018-2017,DEVLET,ISPARTA,19414,13466,20910,17936,6488,3016,924,557,47736,34975,82711
SULEYMAN DEMIREL UNIVERSITESI,2017-2016,DEVLET,ISPARTA,20145,13723,19964,17369,7900,3217,878,486,48887,34795,83682
SULEYMAN DEMIREL UNIVERSITESI,2016-2015,DEVLET,ISPARTA,18064,12075,18903,16556,3665,1985,841,481,41473,31097,72570
SULEYMAN DEMIREL UNIVERSITESI,2015-2014,DEVLET,ISPARTA,15841,10511,17314,15288,3178,1998,682,408,37015,28205,65220
SULEYMAN SAH UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,0,0,724,880,410,54,0,0,1134,934,2068
SULEYMAN SAH UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,629,746,227,33,0,0,856,779,1635
TARSUS UNIVERSITESI,2019-2018,DEVLET,MERSIN,694,666,630,166,188,92,12,10,1524,934,2458
TED UNIVERSITESI,2019-2018,VAKIF,ANKARA,0,0,1174,1899,38,68,0,0,1212,1967,3179
TED UNIVERSITESI,2018-2017,VAKIF,ANKARA,0,0,972,1554,29,38,0,0,1001,1592,2593
TED UNIVERSITESI,2017-2016,VAKIF,ANKARA,0,0,759,1201,33,31,0,0,792,1232,2024
TED UNIVERSITESI,2016-2015,VAKIF,ANKARA,0,0,556,866,24,22,0,0,580,888,1468
TED UNIVERSITESI,2015-2014,VAKIF,ANKARA,0,0,359,605,19,19,0,0,378,624,1002
TEKIRDAG NAMIK KEMAL UNIVERSITESI,2019-2018,DEVLET,TEKIRDAG,7574,4328,7243,5919,869,825,115,120,15801,11192,26993
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,2019-2018,VAKIF,ANKARA,0,0,2702,2543,380,233,152,42,3234,2818,6052
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,2018-2017,VAKIF,ANKARA,0,0,2769,2686,391,251,172,48,3332,2985,6317
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,2017-2016,VAKIF,ANKARA,0,0,2755,2549,414,211,155,45,3324,2805,6129
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,2016-2015,VAKIF,ANKARA,0,0,2612,2393,370,174,141,44,3123,2611,5734
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,2015-2014,VAKIF,ANKARA,0,0,2514,2183,300,137,113,31,2927,2351,5278
TOKAT GAZIOSMANPASA UNIVERSITESI,2019-2018,DEVLET,TOKAT,5559,4221,8561,9212,1276,1023,236,120,15632,14576,30208
TOROS UNIVERSITESI,2019-2018,VAKIF,MERSIN,448,605,936,874,218,109,2,3,1604,1591,3195
TOROS UNIVERSITESI,2018-2017,VAKIF,MERSIN,449,614,992,910,357,163,1,2,1799,1689,3488
TOROS UNIVERSITESI,2017-2016,VAKIF,MERSIN,494,685,931,861,511,236,0,1,1936,1783,3719
TOROS UNIVERSITESI,2016-2015,VAKIF,MERSIN,474,646,885,755,502,296,0,1,1861,1698,3559
TOROS UNIVERSITESI,2015-2014,VAKIF,MERSIN,302,367,691,586,334,235,0,0,1327,1188,2515
TRABZON UNIVERSITESI,2019-2018,DEVLET,TRABZON,1722,1649,3335,5297,448,557,125,122,5630,7625,13255
TRAKYA UNIVERSITESI,2019-2018,DEVLET,EDIRNE,8872,5102,13366,13082,1733,1557,306,279,24277,20020,44297
TRAKYA UNIVERSITESI,2018-2017,DEVLET,EDIRNE,10092,5920,12774,12953,2422,1853,351,278,25639,21004,46643
TRAKYA UNIVERSITESI,2017-2016,DEVLET,EDIRNE,10436,6112,11865,12299,2663,1843,311,236,25275,20490,45765
TRAKYA UNIVERSITESI,2016-2015,DEVLET,EDIRNE,9550,5548,11115,11839,2215,1540,287,220,23167,19147,42314
TRAKYA UNIVERSITESI,2015-2014,DEVLET,EDIRNE,8676,5108,10518,11452,1658,1284,257,201,21109,18045,39154
TUNCELI UNIVERSITESI,2016-2015,DEVLET,TUNCELI,1927,1598,2664,1591,252,100,6,3,4849,3292,8141
TUNCELI UNIVERSITESI,2015-2014,DEVLET,TUNCELI,1390,1338,2580,1511,172,63,5,4,4147,2916,7063
TURGUT OZAL UNIVERSITESI,2016-2015,VAKIF,ANKARA,784,1287,1925,2509,629,358,163,83,3501,4237,7738
TURGUT OZAL UNIVERSITESI,2015-2014,VAKIF,ANKARA,688,1081,1757,2100,354,166,177,79,2976,3426,6402
TURK HAVA KURUMU UNIVERSITESI,2019-2018,VAKIF,ANKARA,339,193,1768,712,102,31,76,13,2285,949,3234
TURK HAVA KURUMU UNIVERSITESI,2018-2017,VAKIF,ANKARA,231,116,1824,738,636,142,127,15,2818,1011,3829
TURK HAVA KURUMU UNIVERSITESI,2017-2016,VAKIF,ANKARA,301,149,1955,761,2013,1089,138,19,4407,2018,6425
TURK HAVA KURUMU UNIVERSITESI,2016-2015,VAKIF,ANKARA,531,259,2208,855,1431,321,144,21,4314,1456,5770
TURK HAVA KURUMU UNIVERSITESI,2015-2014,VAKIF,ANKARA,505,227,1643,603,2240,674,143,24,4531,1528,6059
TURK-ALMAN UNIVERSITESI,2019-2018,DEVLET,ISTANBUL,0,0,940,797,88,85,7,6,1035,888,1923
TURK-ALMAN UNIVERSITESI,2018-2017,DEVLET,ISTANBUL,0,0,666,563,80,71,3,3,749,637,1386
TURK-ALMAN UNIVERSITESI,2017-2016,DEVLET,ISTANBUL,0,0,411,371,52,47,1,1,464,419,883
TURK-ALMAN UNIVERSITESI,2016-2015,DEVLET,ISTANBUL,0,0,223,220,35,32,0,0,258,252,510
TURK-ALMAN UNIVERSITESI,2015-2014,DEVLET,ISTANBUL,0,0,146,123,20,22,0,0,166,145,311
UFUK UNIVERSITESI,2019-2018,VAKIF,ANKARA,564,734,1170,1824,532,337,5,3,2271,2898,5169
UFUK UNIVERSITESI,2018-2017,VAKIF,ANKARA,546,773,1151,1838,735,307,7,4,2439,2922,5361
UFUK UNIVERSITESI,2017-2016,VAKIF,ANKARA,645,851,1071,1683,580,294,7,4,2303,2832,5135
